,Dataset,Story,Reid,Thomas,Elahe,Agreement,Gold,Label,Narrative Clause
train,Reid,1,Action,Action,Orientation,2,Action,Action,I had a magazine assignment that took me over to the Olympic Peninsula yesterday.
train,Reid,1,Orientation,Evaluation,Orientation,2,Orientation,Orientation,"It was not for any publication you've ever heard of,"
train,Reid,1,Orientation,Orientation,Orientation,3,Orientation,Orientation,because it's a trade magazine that only goes to lumberyard owners.
train,Reid,1,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,"They're a long time client,"
train,Reid,1,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,"they pay well,"
train,Reid,1,Orientation,Action,Orientation,2,Orientation,Orientation,"and I do 3 or 4 assignments a year for them, whenever they have a Northwest story."
train,Reid,1,Orientation,Evaluation,Orientation,2,Orientation,Orientation,The trade pubs are a secret sector of editorial photography.
train,Reid,1,Orientation,Stative- Local Context,Orientation,2,Orientation,Orientation,There's a gazillion of them
train,Reid,1,Orientation,Evaluation,Orientation,2,Orientation,Orientation,and they're all obscure as get out.
train,Reid,1,Orientation,Action,Orientation,2,Orientation,Orientation,"I've done one-off assignments for mags you'd find on your newsstand ""Smithsonian, Discover, Bon Appetit""Â€Â”"
train,Reid,1,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"but for regular, reliable, loyal clients, look to the trades."
train,Reid,2,Orientation,Orientation,Orientation,3,Orientation,Orientation,My husband is away.
train,Reid,2,Orientation,Orientation,Orientation,3,Orientation,Orientation,This means we live life a little differently than 'everyday'.
train,Reid,2,Orientation,Orientation,Orientation,3,Orientation,Orientation,"For some reason, being freed of making a 'proper' nightly meal offers me much more time to do things."
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Perhaps it's the time of day i'm most active ?
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Who knows.
train,Reid,2,Action,Action,Orientation,2,Action,Action,So last night we had cheese and bikkies for dinner
train,Reid,2,Evaluation,Stative- Local Context,Orientation,1,Orientation,Orientation,"( it's ok, there was fruit and veg .. okay .. just fruit then, during the day )"
train,Reid,2,Action,Action,Action,3,Action,Action,"and watched the ultra-camp ""Celebrity Singing Bee"""
train,Reid,2,Evaluation,Stative- Local Context,Orientation,1,Evaluation,Evaluation,"( whereas normally, the boy would have to retire to his room"
train,Reid,2,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,"because it's his bedtime,"
train,Reid,2,Stative- Local Context,Stative- Local Context,Orientation,2,Stative- Local Context,Orientation,and CSI would be on )
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"God, we had fun."
train,Reid,2,Stative- Local Context,Orientation,Orientation,2,Orientation,Orientation,It's was 80's night.
train,Reid,2,Action,Action,Action,3,Action,Action,"I romped it in,"
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,and i'm sure the boys were impressed with my karaoke skills.
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,Absolutely.
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I pick my audiences wisely.
train,Reid,2,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,I hope I don't scar them for life..
test,Reid,3,Orientation,Orientation,Orientation,3,Orientation,Orientation,Last weekend was a short jaunt up to Canada that turned into a bit of an extended road trip.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It might have been more fun if work hadn't been associated with it.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"Also, whenever they get around to building an airport in Vancouver I'll be a happy little guy."
test,Reid,3,Evaluation,Action,Orientation,1,Action,Action,"After leaving the apartment at 6:45 AM, flying 2 hours, taking a cab to Seattle, and then driving seven hours up to Whistler including a border crossing, it's safe to say that I felt pretty much like a dick with legs."
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"It was nice, as usual to see everyone."
test,Reid,3,Action,Action,Orientation,2,Action,Action,We met up at The Hall of Justice in Ballard
test,Reid,3,Action,Action,Action,3,Action,Action,and filled ourselves with biscuits and gravy for our long dive.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It sure was pretty.
test,Reid,3,Orientation,Orientation,Orientation,3,Orientation,Orientation,The hotel and festival were site were up in Whistler at an active ski resort.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,It was a hell of a place for a festival.
test,Reid,3,Evaluation,Evaluation,Evaluation,3,Evaluation,Evaluation,"I didn't really pay much attention to anything other than the VIP bar,"
test,Reid,3,Stative - Implied Action,Stative - Implied Action,Action,2,Stative - Implied Action,Action,but as usual I got to see some old friends.
test,Reid,3,Stative - Implied Action,Action,Evaluation,1,Stative - Implied Action,Action,All told it was about 45 minutes worth of work in broad daylight.
