,A,AA,AE,AO,E,EA,EE,EO,O,OA,OE,OO,argument,narrative
train,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.8181818181818182,0.0,0.09090909090909091,0.7272727272727273,train,1
train,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555,0.4444444444444444,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.16666666666666666,train,2
test,0.391304347826087,0.21739130434782608,0.08695652173913043,0.08695652173913043,0.391304347826087,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.13043478260869565,0.043478260869565216,test,3
train,0.8,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,train,4
train,0.3333333333333333,0.21212121212121213,0.06060606060606061,0.06060606060606061,0.3787878787878788,0.06060606060606061,0.21212121212121213,0.09090909090909091,0.2878787878787879,0.06060606060606061,0.10606060606060606,0.12121212121212122,train,5
train,0.1,0.0,0.1,0.0,0.7,0.1,0.5,0.0,0.2,0.0,0.1,0.1,train,6
test,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.47058823529411764,0.0,0.11764705882352941,0.35294117647058826,test,7
train,0.10344827586206896,0.0,0.06896551724137931,0.034482758620689655,0.6551724137931034,0.06896551724137931,0.4827586206896552,0.06896551724137931,0.2413793103448276,0.034482758620689655,0.10344827586206896,0.10344827586206896,train,8
train,0.08,0.0,0.08,0.0,0.56,0.04,0.24,0.24,0.36,0.04,0.24,0.08,train,9
train,0.36,0.24,0.04,0.08,0.28,0.04,0.16,0.04,0.36,0.08,0.08,0.2,train,10
test,0.3191489361702128,0.1276595744680851,0.1276595744680851,0.06382978723404255,0.5106382978723404,0.10638297872340426,0.3191489361702128,0.06382978723404255,0.1702127659574468,0.0851063829787234,0.06382978723404255,0.02127659574468085,test,11
train,0.2647058823529412,0.10294117647058823,0.11764705882352941,0.04411764705882353,0.5735294117647058,0.1323529411764706,0.35294117647058826,0.07352941176470588,0.16176470588235295,0.029411764705882353,0.10294117647058823,0.029411764705882353,train,12
train,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,train,13
train,0.2926829268292683,0.17073170731707318,0.07317073170731707,0.04878048780487805,0.5121951219512195,0.12195121951219512,0.2926829268292683,0.07317073170731707,0.1951219512195122,0.0,0.14634146341463414,0.04878048780487805,train,14
train,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.0,0.42857142857142855,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.07142857142857142,train,15
train,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,train,16
test,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.45454545454545453,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.4090909090909091,0.045454545454545456,0.09090909090909091,0.2727272727272727,test,17
train,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,train,18
train,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,train,19
development,0.5,0.25,0.125,0.0,0.125,0.125,0.0,0.0,0.375,0.125,0.0,0.25,development,20
