"dialogue_num","narrative_num","clause_num","label","text"
"arg1","0","0","Orientation","S1 and S2 are debating the topic of what marriage should mean to our government."
"arg1","0","1","Evaluation","S1 Believes it is not a bad idea "
"arg1","0","2","Evaluation","because they think it is not necessary for the government to be involved in most aspects of our lives, "
"arg1","0","3","Action","while S2 is questioning why it's necessary to try and remove government involvement when it is unavoidable."
"arg1","0","4","Action","S1 brings up "
"arg1","0","5","Evaluation","that because several people are against the government due to gay marriage and not because it's just marriage altogether, "
"arg1","0","6","Evaluation","it doesn't mean it's not a bad idea to remove government intervention."
"arg1","0","7","Action","S1 mentions the ""Healthy Marriage Initiative"" "
"arg1","0","8","Evaluation","and how it isn't necessary."
"arg1","0","9","Action","S2 says "
"arg1","0","10","Evaluation","that there is too much legal work and documents behind marriage in the government, such as inheritance, pension and social rights, etc., "
"arg1","0","11","Evaluation","and that it would be a lot more work "
"arg1","0","12","Evaluation","if the government didn't intervene, "
"arg1","0","13","Action","also stating "
"arg1","0","14","Evaluation","that removing marriage from government will only benefit lawyers."
"arg1","0","15","Orientation","Both S1 and S2 have had experience with marriage, "
"arg1","0","16","Action","S2 states "
"arg1","0","17","Evaluation","that marriage benefits are good because of government intervention."
"arg1","1","0","Orientation","This discussion is about the government roll in marriage, specifically pertaining to homosexual marriage."
"arg1","1","1","Action","S1 believes "
"arg1","1","2","Evaluation","that the government should have no say in marriage."
"arg1","1","3","Action","S2 believes "
"arg1","1","4","Evaluation","that government should have a say in marriage "
"arg1","1","5","Evaluation","because it is more practical in today's world."
"arg1","1","6","Action","S1 believes "
"arg1","1","7","Evaluation","that individual contracts by lawyers  rather than the government being involved would be the fairest compromise."
"arg1","1","8","Orientation","S2 encountered problems with this view in their personal life when their partner died, "
"arg1","1","9","Orientation","and they were unable to sort out all of the legal issues involved in death, like inheritance, or social security rights."
"arg1","1","10","Evaluation","S2 believes there will be privileges that come only in government recognized unions."
"arg1","1","11","Evaluation","S1 comments best way to go about solving these problems is to take them one issue at a time rather then facing the problem as a whole."
"arg1","1","12","Action","S2 thinks "
"arg1","1","13","Evaluation","that you need to look at situations in from different perspectives like trees in the woods."
"arg1","1","14","Orientation","Both S1 and S2 have previous experience with married life and single life."
"arg1","2","0","Evaluation","(S1) Marriage is meaningful and should not be a concern of the government."
"arg1","2","1","Action","(S2) states "
"arg1","2","2","Evaluation","that marriage is an ancient human institution, natural for humans "
"arg1","2","3","Evaluation","and is one of the foundations of social stability."
"arg1","2","4","Action","(S2) says "
"arg1","2","5","Evaluation","that Christians are involved in the topic "
"arg1","2","6","Evaluation","because they want the government to ""get out of marriage"" since gay people are becoming involved."
"arg1","2","7","Action","(S2) says "
"arg1","2","8","Evaluation","that Christians are hypocrites "
"arg1","2","9","Evaluation","because before they had not complained."
"arg1","2","10","Action","(S2) states the importance for government to get involved however, it is convenient and mentions Mr. WriteLA as someone who has eloquently talked about the topic."
"arg1","2","11","Evaluation","(S1) government desires to be involved in lives."
"arg1","2","12","Action","Talks about the ""Healthy Marriage Initiative"" "
"arg1","2","13","Evaluation","and how some mean-spirited hypocrites want the government out for the wrong reasons."
"arg1","2","14","Action","(S2) Questions why is it in societies interest in preventing the government to be involved in marriage."
"arg1","2","15","Action","Also mentions Mr. WriteLA who said "
"arg1","2","16","Evaluation","that the government's involvement is inevitable."
"arg1","2","17","Action","(S1) argues "
"arg1","2","18","Evaluation","that the government should get out of the marriage business "
"arg1","2","19","Evaluation","because it is not needed "
"arg1","2","20","Evaluation","and the benefits of marriage are terribly unfair for single people."
"arg1","2","21","Action","(S2) says single people do not have same issues as married people from experience."
"arg1","3","0","Action","S1 Questions the role of government in marriage, "
"arg1","3","1","Evaluation","maintaining that it should have a very limited one."
"arg1","3","2","Action","S1 says "
"arg1","3","3","Evaluation","that governments want to be involved in our lives as much as they can be, "
"arg1","3","4","Evaluation","and that getting the government out of marriage getting the government out of marriage would be a good idea even if people are supporting this change for the wrong reasons."
"arg1","3","5","Evaluation","It is not necessary to have government in marriage "
"arg1","3","6","Evaluation","and citizens should be vigilant in making sure that the government does not intrude where it is not needed."
"arg1","3","7","Action","S1 believes "
"arg1","3","8","Evaluation","that single people have the biggest stake in this issue."
"arg1","3","9","Action","S2 criticizes the new push for government getting out of marriage."
"arg1","3","10","Action","S2 talks about marriage being an ancient tradition, based on the pair bonding that is natural for humans, "
"arg1","3","11","Evaluation","and that is one of the foundations for social stability."
"arg1","3","12","Orientation","It is thought "
"arg1","3","13","Evaluation","that it would be natural for the government to want to support it "
"arg1","3","14","Evaluation","and that it should "
"arg1","3","15","Evaluation","because the government is the source of law."
"arg1","3","16","Evaluation","Replacing marriage would mean a plethora of minor and specific legal contracts to cover all the hundreds of rights and mutual obligations currently conferred by marriage."
"arg1","3","17","Evaluation","Legal issues such as inheritance, pension and social security rights, adoption, custody, and home ownership that would need separate contracts without the umbrella of marriage."
"arg1","3","18","Evaluation","Marriage is more convenient."
